2014-02-27 09:52:10.785 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 09:54:54.611 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 09:54:54.611 AM	Validate	**Start Validate***
2014-02-27 09:54:54.611 AM	Validate	**For each***
2014-02-27 09:54:54.626 AM	Validate	**End Validate Myret True**
2014-02-27 09:54:54.626 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 09:54:54.626 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 09:54:54.767 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 09:54:54.767 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 09:54:54.767 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 09:54:54.767 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 09:54:56.048 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 09:59:12.530 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 09:59:12.530 AM	Validate	**Start Validate***
2014-02-27 09:59:12.530 AM	Validate	**For each***
2014-02-27 09:59:12.530 AM	Validate	**End Validate Myret True**
2014-02-27 09:59:12.530 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 09:59:12.530 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 09:59:12.671 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 09:59:12.671 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 09:59:12.671 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 09:59:12.671 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 09:59:13.733 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:02:15.083 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:02:42.664 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:02:42.664 AM	Validate	**Start Validate***
2014-02-27 10:02:42.664 AM	Validate	**For each***
2014-02-27 10:02:42.664 AM	Validate	**End Validate Myret True**
2014-02-27 10:02:42.680 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:02:42.680 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:05:06.917 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:07:57.139 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 10:07:57.139 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:07:57.139 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:07:59.529 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:08:41.841 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:08:41.841 AM	Validate	**Start Validate***
2014-02-27 10:08:41.841 AM	Validate	**For each***
2014-02-27 10:08:41.841 AM	Validate	**End Validate Myret True**
2014-02-27 10:08:41.841 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:08:41.841 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:08:41.857 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:09:08.450 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:09:08.450 AM	Validate	**Start Validate***
2014-02-27 10:09:08.450 AM	Validate	**For each***
2014-02-27 10:09:08.450 AM	Validate	**End Validate Myret True**
2014-02-27 10:09:08.450 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:09:08.450 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:09:10.356 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:09:55.762 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:09:55.762 AM	Validate	**Start Validate***
2014-02-27 10:09:55.762 AM	Validate	**For each***
2014-02-27 10:09:55.762 AM	Validate	**End Validate Myret True**
2014-02-27 10:09:55.762 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:09:55.762 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:11:06.746 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:11:08.683 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:11:19.370 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 10:11:19.386 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:11:19.386 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:11:21.620 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:11:32.402 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:12:11.151 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:12:11.151 AM	Validate	**Start Validate***
2014-02-27 10:12:11.151 AM	Validate	**For each***
2014-02-27 10:12:11.151 AM	Validate	**End Validate Myret True**
2014-02-27 10:12:11.198 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:12:11.198 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:14:09.726 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:14:31.929 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:15:11.085 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 10:15:11.101 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:15:11.101 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:15:15.757 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:15:25.288 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:17:03.133 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:17:03.133 AM	Validate	**Start Validate***
2014-02-27 10:17:03.133 AM	Validate	**For each***
2014-02-27 10:17:03.133 AM	Validate	**End Validate Myret True**
2014-02-27 10:17:03.148 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:17:03.148 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:18:13.727 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:18:15.368 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:18:16.118 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 10:18:16.149 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:18:16.149 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:18:19.399 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:18:20.977 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:18:29.633 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:18:42.337 AM	Validate	**Start Validate***
2014-02-27 10:18:42.337 AM	Validate	**For each***
2014-02-27 10:18:50.040 AM	Validate	**End Validate Myret False**
2014-02-27 10:18:50.040 AM	ToolStripButton2_Click	**Validate False**
2014-02-27 10:18:50.040 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:19:02.884 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:19:07.009 AM	Validate	**Start Validate***
2014-02-27 10:19:07.009 AM	Validate	**For each***
2014-02-27 10:19:10.946 AM	Validate	**End Validate Myret True**
2014-02-27 10:19:10.962 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:19:10.962 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:19:10.962 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:19:13.243 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:19:14.446 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 10:19:14.462 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:19:14.462 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:19:16.680 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:19:20.290 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:19:25.415 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:19:25.415 AM	Validate	**Start Validate***
2014-02-27 10:19:25.415 AM	Validate	**For each***
2014-02-27 10:19:30.852 AM	Validate	**End Validate Myret True**
2014-02-27 10:19:30.852 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit True**
2014-02-27 10:19:30.852 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:19:40.087 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:20:12.118 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:20:12.118 AM	Validate	**Start Validate***
2014-02-27 10:20:12.118 AM	Validate	**For each***
2014-02-27 10:20:12.118 AM	Validate	**End Validate Myret True**
2014-02-27 10:20:12.133 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:20:12.133 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:20:25.195 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:20:25.195 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:20:25.195 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 10:20:25.211 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:20:25.211 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:20:27.555 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:20:27.555 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:21:07.554 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:21:07.554 AM	Validate	**Start Validate***
2014-02-27 10:21:07.554 AM	Validate	**For each***
2014-02-27 10:21:07.554 AM	Validate	**End Validate Myret True**
2014-02-27 10:21:07.554 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:21:07.554 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:21:10.413 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:21:10.413 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:21:10.413 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 10:21:10.429 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:21:10.429 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:21:13.726 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:21:13.726 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:28:21.685 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:28:21.685 AM	Validate	**Start Validate***
2014-02-27 10:28:21.685 AM	Validate	**For each***
2014-02-27 10:28:21.685 AM	Validate	**End Validate Myret True**
2014-02-27 10:28:21.701 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:28:21.701 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:28:21.763 AM	ToolStripButton2_Click	** Delete Original File error There is no Original data to access.**
2014-02-27 10:28:21.763 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:28:21.904 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:28:21.904 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 10:28:21.919 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:28:21.919 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:28:22.951 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:28:22.966 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:28:33.888 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:28:33.888 AM	Validate	**Start Validate***
2014-02-27 10:28:33.888 AM	Validate	**For each***
2014-02-27 10:28:33.888 AM	Validate	**For each***
2014-02-27 10:28:33.888 AM	Validate	**End Validate Myret True**
2014-02-27 10:28:33.888 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:28:33.888 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:28:33.888 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:28:33.888 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:28:33.888 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:28:33.888 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:28:34.810 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:28:34.810 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:28:42.466 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:28:42.466 AM	Validate	**Start Validate***
2014-02-27 10:28:42.466 AM	Validate	**For each***
2014-02-27 10:28:42.466 AM	Validate	**For each***
2014-02-27 10:28:42.466 AM	Validate	**End Validate Myret True**
2014-02-27 10:28:42.466 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:28:42.466 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:28:42.466 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:28:42.481 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:28:42.481 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 10:28:42.481 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:28:42.481 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:28:43.653 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:28:43.653 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:28:58.137 AM	ToolStripButton2_Click	**Start Submit***
